method,stress_level,mean_affordance_ap,ci95_affordance_ap,mean_counterfactual_recall,ci95_counterfactual_recall,mean_calibration_error,ci95_calibration_error,mean_support_error,ci95_support_error,mean_semantic_violation,ci95_semantic_violation,mean_task_success,ci95_task_success,mean_invalid_action,ci95_invalid_action,mean_damage,ci95_damage,mean_planning_regret,ci95_planning_regret,mean_probe_cost,ci95_probe_cost,mean_recovery_success,ci95_recovery_success,units
ensemble_uncertainty_affordance,0.00,0.48967,0.04512,0.00687,0.00398,0.45065,0.00596,0.15071,0.00580,0.04533,0.01989,0.43407,0.02037,0.19231,0.02168,0.07783,0.00837,0.03440,0.00323,0.04000,0.00000,0.39835,0.03131,28
ensemble_uncertainty_affordance,0.20,0.42396,0.04635,0.00687,0.00348,0.44308,0.00589,0.15007,0.00610,0.05014,0.02100,0.42033,0.02656,0.21291,0.01776,0.08392,0.00913,0.03818,0.00271,0.04000,0.00000,0.42170,0.02490,28
ensemble_uncertainty_affordance,0.40,0.37888,0.04275,0.00549,0.00328,0.43597,0.00483,0.15086,0.00627,0.05769,0.02742,0.41277,0.02806,0.21085,0.01792,0.08687,0.00779,0.03792,0.00279,0.04000,0.00000,0.37569,0.02539,28
ensemble_uncertainty_affordance,0.60,0.32156,0.03733,0.00687,0.00348,0.42918,0.00380,0.15468,0.00611,0.06662,0.02759,0.37569,0.02626,0.25000,0.02150,0.09635,0.00933,0.04126,0.00330,0.04000,0.00000,0.34821,0.02567,28
ensemble_uncertainty_affordance,0.80,0.29057,0.04174,0.00481,0.00460,0.41557,0.00376,0.15257,0.00565,0.08516,0.03535,0.36470,0.02417,0.25755,0.02222,0.10022,0.00964,0.04308,0.00401,0.04000,0.00000,0.35646,0.02248,28
ensemble_uncertainty_affordance,1.00,0.20597,0.03111,0.00687,0.00398,0.40617,0.00238,0.15293,0.00630,0.08860,0.03695,0.31319,0.02614,0.30563,0.02432,0.11130,0.01003,0.04754,0.00358,0.04000,0.00000,0.32624,0.02772,28
graph_conv_affordance,0.00,0.45084,0.03906,0.00549,0.00427,0.40558,0.00614,0.16708,0.00585,0.06525,0.02710,0.42857,0.03083,0.22184,0.02281,0.08494,0.00964,0.05138,0.00375,0.00000,0.00000,0.36058,0.01916,28
graph_conv_affordance,0.20,0.39207,0.04400,0.00206,0.00224,0.40254,0.00544,0.16566,0.00605,0.05975,0.02345,0.40865,0.03148,0.21978,0.01952,0.08824,0.01008,0.05370,0.00353,0.00000,0.00000,0.38736,0.02283,28
graph_conv_affordance,0.40,0.34388,0.03754,0.00412,0.00355,0.39781,0.00474,0.16750,0.00572,0.07349,0.03168,0.39080,0.02034,0.24245,0.02455,0.09417,0.00950,0.05730,0.00283,0.00000,0.00000,0.36538,0.02185,28
graph_conv_affordance,0.60,0.28445,0.03312,0.00618,0.00390,0.39496,0.00391,0.16188,0.00613,0.07692,0.03108,0.36401,0.02672,0.27679,0.02313,0.10309,0.01064,0.06094,0.00490,0.00000,0.00000,0.33585,0.02531,28
graph_conv_affordance,0.80,0.26321,0.03759,0.00275,0.00421,0.38809,0.00422,0.16288,0.00564,0.09341,0.03788,0.34615,0.02468,0.29876,0.02711,0.10987,0.01214,0.06265,0.00425,0.00000,0.00000,0.31250,0.02712,28
graph_conv_affordance,1.00,0.18137,0.02710,0.00275,0.00319,0.38215,0.00253,0.16293,0.00724,0.09409,0.03731,0.30082,0.02667,0.35440,0.02223,0.12217,0.01200,0.06646,0.00415,0.00000,0.00000,0.31319,0.02571,28
interactive_affordance_probe,0.00,0.53106,0.04683,0.00618,0.00477,0.51060,0.00577,0.13083,0.00363,0.05632,0.02452,0.46429,0.02242,0.15247,0.01995,0.06638,0.00589,0.01853,0.00151,0.18000,0.00000,0.43201,0.02711,28
interactive_affordance_probe,0.20,0.46434,0.04785,0.00824,0.00408,0.50425,0.00585,0.13406,0.00508,0.04052,0.01770,0.44299,0.02898,0.16621,0.01692,0.07302,0.00664,0.02360,0.00251,0.18000,0.00000,0.41346,0.02539,28
interactive_affordance_probe,0.40,0.40764,0.04572,0.00687,0.00483,0.49603,0.00497,0.13436,0.00585,0.05357,0.02345,0.38736,0.02450,0.17995,0.01529,0.07864,0.00765,0.02196,0.00195,0.18000,0.00000,0.40179,0.02871,28
interactive_affordance_probe,0.60,0.34864,0.03854,0.01099,0.00492,0.49169,0.00364,0.13018,0.00558,0.05220,0.02218,0.40728,0.03029,0.18956,0.02503,0.08333,0.00740,0.02413,0.00202,0.18000,0.00000,0.39354,0.02546,28
interactive_affordance_probe,0.80,0.32578,0.04774,0.00687,0.00443,0.47829,0.00368,0.13673,0.00544,0.05907,0.02512,0.36676,0.02244,0.22184,0.02223,0.09168,0.00859,0.02470,0.00263,0.18000,0.00000,0.39560,0.02231,28
interactive_affordance_probe,1.00,0.22571,0.03158,0.00962,0.00598,0.46859,0.00224,0.13488,0.00552,0.06868,0.02911,0.33654,0.02872,0.25687,0.02499,0.10037,0.00972,0.02601,0.00223,0.18000,0.00000,0.34821,0.03037,28
oracle_counterfactual_map,0.00,0.57173,0.05245,0.01168,0.00525,0.38453,0.00390,0.18067,0.00734,0.05495,0.02404,0.48832,0.02408,0.16140,0.02109,0.06280,0.00521,0.00500,0.00067,0.00000,0.00000,0.54464,0.03156,28
oracle_counterfactual_map,0.20,0.51120,0.05668,0.01374,0.00577,0.38273,0.00547,0.17624,0.00835,0.04945,0.02180,0.46635,0.02814,0.17033,0.01805,0.06797,0.00491,0.00661,0.00087,0.00000,0.00000,0.53846,0.03059,28
oracle_counterfactual_map,0.40,0.44962,0.04990,0.01099,0.00626,0.37788,0.00461,0.17348,0.00720,0.05838,0.02464,0.45055,0.03050,0.18956,0.01857,0.07418,0.00581,0.00738,0.00091,0.00000,0.00000,0.52129,0.02470,28
oracle_counterfactual_map,0.60,0.37614,0.04162,0.01580,0.00515,0.37398,0.00493,0.16923,0.00816,0.06662,0.02950,0.45261,0.03117,0.20810,0.02202,0.07946,0.00548,0.00854,0.00115,0.00000,0.00000,0.49725,0.02983,28
oracle_counterfactual_map,0.80,0.34081,0.05112,0.01168,0.00525,0.36666,0.00567,0.16845,0.00774,0.08173,0.03288,0.42720,0.03326,0.22734,0.02202,0.08449,0.00637,0.01012,0.00133,0.00000,0.00000,0.46429,0.02533,28
oracle_counterfactual_map,1.00,0.24409,0.03585,0.01236,0.00620,0.36184,0.00642,0.16726,0.00894,0.07074,0.02921,0.37500,0.02655,0.25137,0.02149,0.09277,0.00717,0.01138,0.00108,0.00000,0.00000,0.45055,0.03025,28
proposed_counterfactual_affordance_map,0.00,0.51561,0.04518,0.00962,0.00494,0.56477,0.00664,0.14467,0.00481,0.03640,0.01637,0.45330,0.02832,0.17239,0.01750,0.06926,0.00627,0.02278,0.00215,0.02000,0.00000,0.47459,0.03168,28
proposed_counterfactual_affordance_map,0.20,0.45040,0.04800,0.00893,0.00454,0.55882,0.00668,0.14960,0.00540,0.03022,0.01456,0.45810,0.02343,0.19643,0.02027,0.07717,0.00762,0.02769,0.00280,0.02000,0.00000,0.47734,0.03168,28
proposed_counterfactual_affordance_map,0.40,0.39985,0.04266,0.00481,0.00314,0.55271,0.00530,0.14804,0.00626,0.03984,0.01899,0.41964,0.02543,0.20124,0.01824,0.08220,0.00729,0.02841,0.00207,0.02000,0.00000,0.43819,0.02878,28
proposed_counterfactual_affordance_map,0.60,0.33549,0.03914,0.01099,0.00492,0.54742,0.00386,0.15387,0.00560,0.04190,0.01939,0.41346,0.02905,0.21635,0.02363,0.08796,0.00820,0.03180,0.00298,0.02000,0.00000,0.44231,0.02150,28
proposed_counterfactual_affordance_map,0.80,0.31675,0.04730,0.00755,0.00525,0.53535,0.00389,0.15430,0.00491,0.05769,0.02490,0.38736,0.02518,0.24725,0.02174,0.09553,0.00895,0.03066,0.00259,0.02000,0.00000,0.39217,0.03018,28
proposed_counterfactual_affordance_map,1.00,0.22121,0.03157,0.00824,0.00492,0.52592,0.00247,0.16004,0.00583,0.05495,0.02419,0.34341,0.02719,0.29121,0.02663,0.10803,0.01095,0.03292,0.00261,0.02000,0.00000,0.37431,0.02257,28
vlm_spatial_affordance,0.00,0.42174,0.04129,0.00481,0.00369,0.40367,0.00630,0.17150,0.00572,0.04602,0.01932,0.39423,0.02605,0.22253,0.01933,0.08832,0.00972,0.06191,0.00361,0.00000,0.00000,0.37981,0.02457,28
vlm_spatial_affordance,0.20,0.37449,0.04128,0.00343,0.00278,0.40005,0.00639,0.16486,0.00627,0.03777,0.01750,0.41758,0.03125,0.22184,0.02083,0.09272,0.01183,0.06434,0.00451,0.00000,0.00000,0.34135,0.02076,28
vlm_spatial_affordance,0.40,0.32881,0.03682,0.00206,0.00224,0.39620,0.00525,0.16595,0.00573,0.05082,0.02187,0.38874,0.03116,0.25343,0.02185,0.10197,0.01194,0.06391,0.00453,0.00000,0.00000,0.34341,0.02814,28
vlm_spatial_affordance,0.60,0.28012,0.02950,0.00755,0.00354,0.39261,0.00454,0.16690,0.00604,0.05769,0.02475,0.37706,0.03349,0.27198,0.02787,0.10915,0.01296,0.06542,0.00422,0.00000,0.00000,0.32280,0.02369,28
vlm_spatial_affordance,0.80,0.25671,0.03956,0.00481,0.00314,0.38432,0.00405,0.17154,0.00505,0.06799,0.02905,0.35165,0.02868,0.30082,0.02344,0.11754,0.01452,0.07491,0.00598,0.00000,0.00000,0.30769,0.02141,28
vlm_spatial_affordance,1.00,0.17908,0.02699,0.00343,0.00390,0.38031,0.00241,0.16305,0.00590,0.07005,0.02903,0.31181,0.02987,0.34135,0.02634,0.12463,0.01324,0.07156,0.00490,0.00000,0.00000,0.27473,0.02699,28
