method,metric,mean,ci95,n
active_view_affordance_probe,action_churn,0.3999175484380869,0.0014083640963103304,10
active_view_affordance_probe,affordance_ap,0.9340667145459202,0.010060248259340267,10
active_view_affordance_probe,counterfactual_precision,0.8606406689079291,0.01305946827060519,10
active_view_affordance_probe,counterfactual_recall,0.7223353412750353,0.019342785815496102,10
active_view_affordance_probe,damage_rate,0.10130208333333335,0.008556142459351773,10
active_view_affordance_probe,invalid_action,0.2770833333333333,0.013205233162287229,10
active_view_affordance_probe,map_ece,0.3101444421592098,0.017676381577586185,10
active_view_affordance_probe,mechanism_utility,0.20393362458269956,0.0005641104322384937,10
active_view_affordance_probe,planning_regret,0.3098716826739857,0.0009447316239614992,10
active_view_affordance_probe,probe_cost,0.1656,0.0,10
active_view_affordance_probe,robust_utility,-0.30291249037179,0.018288078336769438,10
active_view_affordance_probe,semantic_transfer_violation,0.23585095411097373,0.0008616860500498102,10
active_view_affordance_probe,support_transfer_violation,0.22096104943060343,0.0009827042305459806,10
active_view_affordance_probe,task_success,0.28046875,0.012958508711002098,10
causal_counterfactual_affordance_planner_v5,action_churn,0.43876646872347747,0.0012543935627110044,10
causal_counterfactual_affordance_planner_v5,affordance_ap,0.9417590836454467,0.009032954389394776,10
causal_counterfactual_affordance_planner_v5,counterfactual_precision,0.7862152604529775,0.011443637359452603,10
causal_counterfactual_affordance_planner_v5,counterfactual_recall,1.0,0.0,10
causal_counterfactual_affordance_planner_v5,damage_rate,0.19531249999999997,0.008938365990161404,10
causal_counterfactual_affordance_planner_v5,invalid_action,0.39322916666666663,0.011934003026677211,10
causal_counterfactual_affordance_planner_v5,map_ece,0.38475413233119915,0.017686032429840116,10
causal_counterfactual_affordance_planner_v5,mechanism_utility,0.3413018088449019,0.0008608663794832503,10
causal_counterfactual_affordance_planner_v5,planning_regret,0.35070042108251054,0.0013013388129532227,10
causal_counterfactual_affordance_planner_v5,probe_cost,0.025600000000000005,2.266705341943028e-18,10
causal_counterfactual_affordance_planner_v5,robust_utility,-0.4314868780910907,0.018664177345290276,10
causal_counterfactual_affordance_planner_v5,semantic_transfer_violation,0.22226375579032281,0.001146341695609018,10
causal_counterfactual_affordance_planner_v5,support_transfer_violation,0.2168694231268235,0.0012734855399582042,10
causal_counterfactual_affordance_planner_v5,task_success,0.3364583333333333,0.014750168378930124,10
counterfactual_affordance_map_v4,action_churn,0.49419807837150265,0.001352745355488716,10
counterfactual_affordance_map_v4,affordance_ap,0.9298314763356188,0.008708817261916696,10
counterfactual_affordance_map_v4,counterfactual_precision,0.865098052572904,0.013531603561660006,10
counterfactual_affordance_map_v4,counterfactual_recall,0.709275106208147,0.016420476821896676,10
counterfactual_affordance_map_v4,damage_rate,0.23828125,0.010820886835996316,10
counterfactual_affordance_map_v4,invalid_action,0.4447916666666667,0.01597494542002693,10
counterfactual_affordance_map_v4,map_ece,0.3234470333846625,0.017856974742150807,10
counterfactual_affordance_map_v4,mechanism_utility,0.1891538648477526,0.000886084805612051,10
counterfactual_affordance_map_v4,planning_regret,0.40230083851250475,0.0007269691322487839,10
counterfactual_affordance_map_v4,probe_cost,0.025600000000000005,2.266705341943028e-18,10
counterfactual_affordance_map_v4,robust_utility,-0.6425446702920867,0.02189060315754119,10
counterfactual_affordance_map_v4,semantic_transfer_violation,0.27169039495404307,0.0016661578358770854,10
counterfactual_affordance_map_v4,support_transfer_violation,0.26127624593834264,0.0011548492038829735,10
counterfactual_affordance_map_v4,task_success,0.25104166666666666,0.015030112200590707,10
diffusion_affordance_sampler,action_churn,0.5041926260173776,0.000662952331070853,10
diffusion_affordance_sampler,affordance_ap,0.9145594876388607,0.01597445599630074,10
diffusion_affordance_sampler,counterfactual_precision,0.1,0.19599999999999998,10
diffusion_affordance_sampler,counterfactual_recall,0.0003215434083601286,0.0006302250803858519,10
diffusion_affordance_sampler,damage_rate,0.21744791666666666,0.012828291702237097,10
diffusion_affordance_sampler,invalid_action,0.43880208333333337,0.011988455034273452,10
diffusion_affordance_sampler,map_ece,0.39679462089875134,0.009351336935860363,10
diffusion_affordance_sampler,mechanism_utility,0.0756261154836256,0.000495721619642156,10
diffusion_affordance_sampler,planning_regret,0.41202362487463917,0.0005685377042203676,10
diffusion_affordance_sampler,probe_cost,0.025600000000000005,2.266705341943028e-18,10
diffusion_affordance_sampler,robust_utility,-0.6657021832455807,0.01538703628117758,10
diffusion_affordance_sampler,semantic_transfer_violation,0.3108911170005841,0.0010538906566915254,10
diffusion_affordance_sampler,support_transfer_violation,0.28750473497025375,0.001360522526273569,10
diffusion_affordance_sampler,task_success,0.2127604166666667,0.01576059260996991,10
ensemble_uncertainty_affordance,action_churn,0.45656048248688,0.0009031853302481889,10
ensemble_uncertainty_affordance,affordance_ap,0.9319793640427821,0.01286452839029334,10
ensemble_uncertainty_affordance,counterfactual_precision,1.0,0.0,10
ensemble_uncertainty_affordance,counterfactual_recall,0.011641925189190327,0.0020678233333906626,10
ensemble_uncertainty_affordance,damage_rate,0.20442708333333331,0.013764435901928652,10
ensemble_uncertainty_affordance,invalid_action,0.4145833333333333,0.011331812006416513,10
ensemble_uncertainty_affordance,map_ece,0.3984092543443045,0.011155395005539017,10
ensemble_uncertainty_affordance,mechanism_utility,0.1202569860532173,0.0005346879315769637,10
ensemble_uncertainty_affordance,planning_regret,0.4069696594301694,0.0009133785800639117,10
ensemble_uncertainty_affordance,probe_cost,0.0312,2.266705341943028e-18,10
ensemble_uncertainty_affordance,robust_utility,-0.6337583866011185,0.02704398106183816,10
ensemble_uncertainty_affordance,semantic_transfer_violation,0.3039697886484407,0.0015223427250533772,10
ensemble_uncertainty_affordance,support_transfer_violation,0.28279225844164857,0.0007747410303400672,10
ensemble_uncertainty_affordance,task_success,0.20885416666666665,0.012772887424681242,10
foundation_vlm_affordance,action_churn,0.5464562361314239,0.0009987474831058881,10
foundation_vlm_affordance,affordance_ap,0.8677585742191161,0.01898704819573788,10
foundation_vlm_affordance,counterfactual_precision,0.0,0.0,10
foundation_vlm_affordance,counterfactual_recall,0.0,0.0,10
foundation_vlm_affordance,damage_rate,0.2513020833333333,0.015107911812187864,10
foundation_vlm_affordance,invalid_action,0.4859374999999999,0.01628718886791504,10
foundation_vlm_affordance,map_ece,0.33739422765645416,0.009347722125231375,10
foundation_vlm_affordance,mechanism_utility,0.0338235538529721,0.000584211260717888,10
foundation_vlm_affordance,planning_regret,0.4451871825251514,0.0012950640385235497,10
foundation_vlm_affordance,probe_cost,0.0,0.0,10
foundation_vlm_affordance,robust_utility,-0.7758549861009392,0.017224493158637163,10
foundation_vlm_affordance,semantic_transfer_violation,0.23665109957907396,0.001593522041088687,10
foundation_vlm_affordance,support_transfer_violation,0.3482430044589709,0.0012202835153398458,10
foundation_vlm_affordance,task_success,0.19427083333333334,0.012713826985016673,10
gaussian_grasp_map,action_churn,0.5409555097147993,0.001265571000719749,10
gaussian_grasp_map,affordance_ap,0.9017972968461032,0.013833031569499648,10
gaussian_grasp_map,counterfactual_precision,0.0,0.0,10
gaussian_grasp_map,counterfactual_recall,0.0,0.0,10
gaussian_grasp_map,damage_rate,0.27578125000000003,0.012559200571723163,10
gaussian_grasp_map,invalid_action,0.5216145833333332,0.010350543021368078,10
gaussian_grasp_map,map_ece,0.1942697614036269,0.017940484128803346,10
gaussian_grasp_map,mechanism_utility,-0.06318773938391678,0.0004630302505146377,10
gaussian_grasp_map,planning_regret,0.48228248683812935,0.0008721424321076386,10
gaussian_grasp_map,probe_cost,0.0,0.0,10
gaussian_grasp_map,robust_utility,-0.9239987824533571,0.018754039257718808,10
gaussian_grasp_map,semantic_transfer_violation,0.4096893256286639,0.0017361077057835186,10
gaussian_grasp_map,support_transfer_violation,0.37851804463769245,0.0015179853575030288,10
gaussian_grasp_map,task_success,0.1296875,0.007369194330261654,10
graph_conv_affordance,action_churn,0.5371075416584554,0.0008919451695707236,10
graph_conv_affordance,affordance_ap,0.8981679657804609,0.015084528469668849,10
graph_conv_affordance,counterfactual_precision,0.0,0.0,10
graph_conv_affordance,counterfactual_recall,0.0,0.0,10
graph_conv_affordance,damage_rate,0.2697916666666667,0.011135976950357293,10
graph_conv_affordance,invalid_action,0.5127604166666666,0.006012911495184325,10
graph_conv_affordance,map_ece,0.2299466479570848,0.017415355665943624,10
graph_conv_affordance,mechanism_utility,-0.007484151679249575,0.00035333074550056157,10
graph_conv_affordance,planning_regret,0.4727099720906131,0.0012773221973117132,10
graph_conv_affordance,probe_cost,0.0,0.0,10
graph_conv_affordance,robust_utility,-0.8702485429634292,0.01460644986725558,10
graph_conv_affordance,semantic_transfer_violation,0.3661462783118094,0.0011595816764924645,10
graph_conv_affordance,support_transfer_violation,0.3111875832123491,0.0009200391885038513,10
graph_conv_affordance,task_success,0.16171874999999997,0.011168422613632486,10
interactive_affordance_probe,action_churn,0.36608242519389783,0.0011036935737109921,10
