method,split,mean_affordance_ap,ci95_affordance_ap,mean_counterfactual_recall,ci95_counterfactual_recall,mean_calibration_error,ci95_calibration_error,mean_support_error,ci95_support_error,mean_semantic_violation,ci95_semantic_violation,mean_task_success,ci95_task_success,mean_invalid_action,ci95_invalid_action,mean_damage,ci95_damage,mean_planning_regret,ci95_planning_regret,mean_probe_cost,ci95_probe_cost,mean_recovery_success,ci95_recovery_success,units
ensemble_uncertainty_affordance,combined_counterfactual_stress,0.20365,0.02511,0.00808,0.00341,0.40686,0.00222,0.15533,0.00336,0.06845,0.02736,0.34056,0.02547,0.30655,0.02028,0.11605,0.01235,0.04651,0.00293,0.04000,0.00000,0.32058,0.01564,28
ensemble_uncertainty_affordance,nominal_affordance,0.48673,0.04249,0.00595,0.00329,0.45210,0.00551,0.14935,0.00521,0.04507,0.01899,0.44430,0.02030,0.19005,0.02253,0.07617,0.00839,0.03409,0.00263,0.04000,0.00000,0.39881,0.01818,28
ensemble_uncertainty_affordance,occlusion_semantic_shift,0.30861,0.03919,0.00765,0.00322,0.40164,0.00316,0.16216,0.00411,0.08886,0.03440,0.38095,0.02758,0.27296,0.01309,0.09767,0.00901,0.04460,0.00282,0.04000,0.00000,0.32568,0.01781,28
ensemble_uncertainty_affordance,pose_shift,0.35645,0.04074,0.00723,0.00325,0.44034,0.00489,0.15336,0.00351,0.04804,0.02031,0.40859,0.01954,0.19175,0.01529,0.08375,0.00849,0.03639,0.00249,0.04000,0.00000,0.39286,0.01650,28
ensemble_uncertainty_affordance,support_shift,0.28218,0.03689,0.00638,0.00254,0.44310,0.00316,0.14965,0.00428,0.05357,0.02169,0.36947,0.02035,0.25298,0.01683,0.10442,0.01143,0.04004,0.00302,0.04000,0.00000,0.36012,0.02060,28
gaussian_grasp_map,combined_counterfactual_stress,0.16631,0.02432,0.00298,0.00228,0.35650,0.00241,0.17300,0.00465,0.10332,0.04116,0.28699,0.01977,0.40434,0.02247,0.13782,0.01567,0.08370,0.00517,0.00000,0.00000,0.25298,0.02091,28
gaussian_grasp_map,nominal_affordance,0.39692,0.03458,0.00298,0.00258,0.36919,0.00541,0.17596,0.00548,0.07228,0.02964,0.39668,0.02226,0.25595,0.02087,0.09501,0.01085,0.07228,0.00370,0.00000,0.00000,0.35502,0.01485,28
gaussian_grasp_map,occlusion_semantic_shift,0.26452,0.03130,0.00340,0.00236,0.35338,0.00393,0.18194,0.00454,0.12330,0.04826,0.32015,0.01794,0.36182,0.01936,0.11725,0.01246,0.07988,0.00425,0.00000,0.00000,0.26190,0.01455,28
gaussian_grasp_map,pose_shift,0.30178,0.03646,0.00425,0.00274,0.36476,0.00449,0.18319,0.00472,0.08163,0.03226,0.37117,0.02638,0.27296,0.01851,0.10268,0.01141,0.07092,0.00439,0.00000,0.00000,0.33163,0.01839,28
gaussian_grasp_map,support_shift,0.22825,0.03227,0.00298,0.00228,0.37626,0.00315,0.17024,0.00456,0.07313,0.02983,0.32611,0.02073,0.34821,0.01915,0.13255,0.01772,0.07708,0.00327,0.00000,0.00000,0.29422,0.01675,28
graph_conv_affordance,combined_counterfactual_stress,0.18380,0.02198,0.00340,0.00236,0.38283,0.00215,0.16618,0.00488,0.09566,0.03733,0.32313,0.02286,0.36182,0.02066,0.12439,0.01298,0.06790,0.00312,0.00000,0.00000,0.29082,0.01625,28
graph_conv_affordance,nominal_affordance,0.44396,0.04059,0.00595,0.00329,0.40666,0.00539,0.16274,0.00575,0.06803,0.02807,0.44048,0.02324,0.21216,0.01723,0.08089,0.00837,0.05226,0.00299,0.00000,0.00000,0.38308,0.02463,28
graph_conv_affordance,occlusion_semantic_shift,0.27690,0.03410,0.00723,0.00386,0.37875,0.00330,0.16867,0.00438,0.10459,0.04114,0.35459,0.02175,0.30102,0.01792,0.10113,0.00959,0.06391,0.00340,0.00000,0.00000,0.30782,0.01978,28
graph_conv_affordance,pose_shift,0.31605,0.03679,0.00553,0.00281,0.39983,0.00480,0.16603,0.00509,0.06973,0.02757,0.38095,0.02427,0.23810,0.02030,0.09131,0.00952,0.05736,0.00287,0.00000,0.00000,0.36820,0.01764,28
graph_conv_affordance,support_shift,0.25576,0.03464,0.00446,0.00213,0.40663,0.00298,0.15998,0.00515,0.06930,0.02747,0.34694,0.02699,0.30825,0.01984,0.11638,0.01470,0.05929,0.00357,0.00000,0.00000,0.33206,0.01798,28
interactive_affordance_probe,combined_counterfactual_stress,0.22665,0.02806,0.00765,0.00299,0.46838,0.00203,0.13570,0.00356,0.07568,0.03119,0.36224,0.02063,0.24830,0.01636,0.09890,0.00818,0.02445,0.00149,0.18000,0.00000,0.33886,0.01896,28
interactive_affordance_probe,nominal_affordance,0.52159,0.04626,0.00723,0.00347,0.51259,0.00506,0.13765,0.00389,0.04337,0.01805,0.42985,0.01817,0.15179,0.01577,0.06823,0.00652,0.02125,0.00140,0.18000,0.00000,0.43155,0.02234,28
interactive_affordance_probe,occlusion_semantic_shift,0.34518,0.04298,0.00808,0.00341,0.46785,0.00350,0.13879,0.00456,0.08418,0.03405,0.41029,0.01737,0.22449,0.01858,0.08616,0.00749,0.02408,0.00207,0.18000,0.00000,0.36054,0.02314,28
interactive_affordance_probe,pose_shift,0.38418,0.04755,0.01190,0.00449,0.49871,0.00476,0.13115,0.00411,0.04974,0.02147,0.43282,0.02256,0.16199,0.01647,0.07342,0.00647,0.02051,0.00156,0.18000,0.00000,0.41922,0.01732,28
interactive_affordance_probe,support_shift,0.30710,0.04166,0.00680,0.00280,0.49970,0.00313,0.14173,0.00416,0.05357,0.02316,0.38903,0.02226,0.21769,0.01493,0.09293,0.00962,0.02109,0.00211,0.18000,0.00000,0.38733,0.01745,28
multi_affordance_grasping,combined_counterfactual_stress,0.16286,0.01951,0.00298,0.00228,0.34748,0.00242,0.17999,0.00480,0.09609,0.03770,0.28614,0.02256,0.38818,0.01914,0.13691,0.01534,0.08716,0.00367,0.00000,0.00000,0.26105,0.01569,28
multi_affordance_grasping,nominal_affordance,0.39961,0.03685,0.00383,0.00295,0.36038,0.00572,0.18065,0.00568,0.07866,0.03187,0.39626,0.01901,0.25723,0.01647,0.09590,0.01136,0.07177,0.00378,0.00000,0.00000,0.33673,0.02388,28
multi_affordance_grasping,occlusion_semantic_shift,0.25153,0.03095,0.00255,0.00220,0.34213,0.00373,0.18189,0.00667,0.12585,0.04890,0.32483,0.02196,0.34651,0.01794,0.11668,0.01245,0.08402,0.00402,0.00000,0.00000,0.27296,0.01663,28
multi_affordance_grasping,pose_shift,0.28641,0.03526,0.00425,0.00246,0.35692,0.00463,0.18187,0.00418,0.07866,0.03135,0.34269,0.02380,0.27423,0.01857,0.10452,0.01263,0.07566,0.00442,0.00000,0.00000,0.32355,0.02008,28
multi_affordance_grasping,support_shift,0.22987,0.03122,0.00361,0.00202,0.36783,0.00347,0.17215,0.00501,0.07568,0.03114,0.31888,0.02195,0.35587,0.02045,0.13126,0.01679,0.07672,0.00409,0.00000,0.00000,0.29762,0.02571,28
observed_affordance_map,combined_counterfactual_stress,0.14352,0.01776,0.00213,0.00210,0.31249,0.00240,0.18536,0.00453,0.12160,0.04684,0.26020,0.01613,0.44728,0.01985,0.14908,0.01755,0.11107,0.00483,0.00000,0.00000,0.22959,0.01573,28
observed_affordance_map,nominal_affordance,0.34689,0.03031,0.00128,0.00139,0.31738,0.00576,0.19177,0.00552,0.07398,0.03061,0.36480,0.02121,0.28061,0.01720,0.10183,0.01124,0.09533,0.00345,0.00000,0.00000,0.33036,0.01842,28
observed_affordance_map,occlusion_semantic_shift,0.21876,0.02880,0.00170,0.00157,0.30498,0.00379,0.18811,0.00566,0.13776,0.05292,0.28699,0.02313,0.39498,0.01685,0.12654,0.01394,0.11116,0.00333,0.00000,0.00000,0.24065,0.02080,28
observed_affordance_map,pose_shift,0.25322,0.03004,0.00425,0.00246,0.31730,0.00488,0.19709,0.00650,0.09481,0.03655,0.35119,0.02620,0.32185,0.01988,0.11387,0.01286,0.09982,0.00461,0.00000,0.00000,0.31888,0.02006,28
observed_affordance_map,support_shift,0.19192,0.02803,0.00383,0.00295,0.32771,0.00342,0.18129,0.00514,0.09609,0.03734,0.27296,0.02209,0.41879,0.02096,0.14574,0.01977,0.10997,0.00421,0.00000,0.00000,0.25298,0.01186,28
oracle_counterfactual_map,combined_counterfactual_stress,0.24291,0.03050,0.01446,0.00422,0.36036,0.00637,0.16271,0.00673,0.07483,0.03097,0.37840,0.02208,0.25000,0.01760,0.09217,0.00562,0.01199,0.00092,0.00000,0.00000,0.44430,0.01689,28
oracle_counterfactual_map,nominal_affordance,0.56602,0.04869,0.01148,0.00407,0.38553,0.00421,0.18011,0.00759,0.04634,0.01925,0.49872,0.02185,0.15604,0.01970,0.06217,0.00505,0.00548,0.00054,0.00000,0.00000,0.55187,0.02073,28
oracle_counterfactual_map,occlusion_semantic_shift,0.36918,0.04441,0.01743,0.00569,0.37267,0.00537,0.17622,0.00691,0.09184,0.03519,0.41667,0.01859,0.22874,0.01381,0.08042,0.00510,0.01189,0.00073,0.00000,0.00000,0.44260,0.01824,28
oracle_counterfactual_map,pose_shift,0.41445,0.05035,0.01658,0.00567,0.37500,0.00460,0.18656,0.00731,0.06378,0.02649,0.44600,0.02115,0.17517,0.01767,0.07088,0.00585,0.00632,0.00069,0.00000,0.00000,0.53359,0.01663,28
oracle_counterfactual_map,support_shift,0.32703,0.04298,0.01276,0.00338,0.36770,0.00597,0.14484,0.00461,0.06165,0.02466,0.41624,0.02437,0.21003,0.01660,0.08620,0.00773,0.00695,0.00097,0.00000,0.00000,0.48895,0.02382,28
proposed_counterfactual_affordance_map,combined_counterfactual_stress,0.21670,0.02673,0.00893,0.00331,0.52658,0.00222,0.15916,0.00453,0.05697,0.02291,0.34651,0.02045,0.28529,0.01818,0.10557,0.00969,0.03385,0.00230,0.02000,0.00000,0.37713,0.02068,28
proposed_counterfactual_affordance_map,nominal_affordance,0.50880,0.04285,0.00723,0.00325,0.56586,0.00628,0.14829,0.00537,0.03699,0.01612,0.46003,0.02048,0.18027,0.02098,0.07154,0.00712,0.02594,0.00186,0.02000,0.00000,0.47406,0.01958,28
proposed_counterfactual_affordance_map,occlusion_semantic_shift,0.33304,0.03867,0.01063,0.00500,0.52438,0.00391,0.14874,0.00496,0.07015,0.02759,0.39116,0.02298,0.23895,0.01667,0.08913,0.00790,0.03111,0.00194,0.02000,0.00000,0.40094,0.02051,28
proposed_counterfactual_affordance_map,pose_shift,0.37255,0.04556,0.00893,0.00331,0.55398,0.00515,0.14644,0.00502,0.04677,0.02008,0.42560,0.02132,0.20663,0.01620,0.08024,0.00688,0.02847,0.00210,0.02000,0.00000,0.43707,0.02150,28
proposed_counterfactual_affordance_map,support_shift,0.29593,0.03901,0.00659,0.00290,0.55814,0.00332,0.18411,0.00446,0.04549,0.01875,0.40604,0.02401,0.24490,0.01948,0.09826,0.01038,0.02744,0.00229,0.02000,0.00000,0.42134,0.02272,28
vlm_spatial_affordance,combined_counterfactual_stress,0.17818,0.02224,0.00383,0.00270,0.38065,0.00242,0.17174,0.00386,0.06803,0.02783,0.30527,0.01728,0.34226,0.01862,0.12877,0.01460,0.07576,0.00430,0.00000,0.00000,0.29082,0.02056,28
vlm_spatial_affordance,nominal_affordance,0.42395,0.03922,0.00298,0.00258,0.40526,0.00584,0.16413,0.00554,0.03997,0.01660,0.42772,0.02448,0.20408,0.01791,0.08703,0.01063,0.05889,0.00316,0.00000,0.00000,0.38350,0.01966,28
vlm_spatial_affordance,occlusion_semantic_shift,0.26964,0.03226,0.00595,0.00306,0.37345,0.00335,0.17355,0.00510,0.08418,0.03289,0.33716,0.01920,0.31335,0.01680,0.10966,0.01183,0.07176,0.00345,0.00000,0.00000,0.30272,0.02094,28
vlm_spatial_affordance,pose_shift,0.30679,0.03686,0.00553,0.00281,0.39876,0.00481,0.16709,0.00463,0.04932,0.02014,0.37160,0.01769,0.22917,0.01483,0.09616,0.01103,0.06626,0.00414,0.00000,0.00000,0.36352,0.01818,28
vlm_spatial_affordance,support_shift,0.23975,0.03356,0.00659,0.00302,0.40717,0.00312,0.17128,0.00415,0.04932,0.02018,0.34311,0.02327,0.32611,0.01769,0.12497,0.01612,0.06923,0.00333,0.00000,0.00000,0.32781,0.01539,28
