method,mean_affordance_ap,ci95_affordance_ap,mean_counterfactual_recall,ci95_counterfactual_recall,mean_calibration_error,ci95_calibration_error,mean_support_error,ci95_support_error,mean_semantic_violation,ci95_semantic_violation,mean_task_success,ci95_task_success,mean_invalid_action,ci95_invalid_action,mean_damage,ci95_damage,mean_planning_regret,ci95_planning_regret,mean_probe_cost,ci95_probe_cost,mean_recovery_success,ci95_recovery_success,units
full_counterfactual_affordance,0.22027,0.02831,0.01105,0.00432,0.52544,0.00201,0.16176,0.00401,0.05655,0.02390,0.37032,0.01690,0.27721,0.01916,0.10390,0.00925,0.03104,0.00204,0.02000,0.00000,0.37798,0.01815,28
minus_pose_counterfactuals,0.20869,0.02644,0.00808,0.00295,0.46596,0.00203,0.14307,0.00452,0.06505,0.02663,0.34056,0.02250,0.27083,0.01881,0.10305,0.00892,0.03926,0.00253,0.02000,0.00000,0.36310,0.02172,28
minus_semantic_counterfactuals,0.21266,0.02645,0.00765,0.00322,0.47677,0.00261,0.14771,0.00348,0.07866,0.03053,0.33376,0.01937,0.30782,0.01554,0.10858,0.00884,0.04017,0.00241,0.02000,0.00000,0.34439,0.02120,28
minus_support_counterfactuals,0.20854,0.02616,0.00638,0.00389,0.45419,0.00205,0.16112,0.00514,0.06250,0.02519,0.33376,0.02698,0.30697,0.01981,0.11598,0.01206,0.04649,0.00263,0.02000,0.00000,0.33461,0.02158,28
minus_uncertainty_calibration,0.20635,0.02619,0.01063,0.00367,0.54976,0.00246,0.18192,0.00580,0.06718,0.02719,0.33376,0.01892,0.30527,0.01321,0.10891,0.00955,0.04246,0.00189,0.02000,0.00000,0.40051,0.01765,28
observed_only_counterfactual_head,0.15675,0.02206,0.00340,0.00203,0.33268,0.00217,0.18261,0.00432,0.09906,0.04110,0.27168,0.02061,0.40604,0.02141,0.14094,0.01601,0.09552,0.00550,0.00000,0.00000,0.25935,0.01857,28
support_only_counterfactual_head,0.19800,0.02497,0.00553,0.00281,0.41889,0.00198,0.14553,0.00409,0.08461,0.03335,0.34141,0.02061,0.28529,0.01749,0.10636,0.00970,0.05004,0.00259,0.02000,0.00000,0.33801,0.01589,28
