split,budget,comparison,metric,mean,ci95,lower95,upper95,better_seeds,n
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,coverage,-0.0013888888888888887,0.0018148148148148145,-0.0032037037037037034,0.00042592592592592573,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,accepted_success,-0.1,0.19599999999999998,-0.296,0.09599999999999997,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,accepted_invalid_action,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,accepted_damage_rate,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,accepted_regret,-0.04202261389618465,0.05649558360333819,-0.09851819749952284,0.01447296970715354,2,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,accepted_utility,-0.06583377027267075,0.16781446502606726,-0.23364823529873802,0.10198069475339651,1,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_active_view_affordance_probe,coverage,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_active_view_affordance_probe,accepted_success,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_active_view_affordance_probe,accepted_invalid_action,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_active_view_affordance_probe,accepted_damage_rate,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_active_view_affordance_probe,accepted_regret,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_active_view_affordance_probe,accepted_utility,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_robust_mpc_affordance_planner,coverage,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_robust_mpc_affordance_planner,accepted_success,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_robust_mpc_affordance_planner,accepted_invalid_action,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_robust_mpc_affordance_planner,accepted_damage_rate,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_robust_mpc_affordance_planner,accepted_regret,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_robust_mpc_affordance_planner,accepted_utility,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_ensemble_uncertainty_affordance,coverage,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_ensemble_uncertainty_affordance,accepted_success,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_ensemble_uncertainty_affordance,accepted_invalid_action,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_ensemble_uncertainty_affordance,accepted_damage_rate,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_ensemble_uncertainty_affordance,accepted_regret,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_ensemble_uncertainty_affordance,accepted_utility,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_diffusion_affordance_sampler,coverage,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_diffusion_affordance_sampler,accepted_success,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_diffusion_affordance_sampler,accepted_invalid_action,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_diffusion_affordance_sampler,accepted_damage_rate,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_diffusion_affordance_sampler,accepted_regret,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.0,causal_counterfactual_affordance_planner_v5_minus_diffusion_affordance_sampler,accepted_utility,0.0,0.0,0.0,0.0,0,10
low_signal_counterfactual_shift,0.05,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,coverage,-0.04652777777777778,0.011486860299211777,-0.058014638076989554,-0.035040917478566004,0,10
low_signal_counterfactual_shift,0.05,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,accepted_success,-0.2606060606060606,0.12861027678396622,-0.3892163373900268,-0.1319957838220944,0,10
low_signal_counterfactual_shift,0.05,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,accepted_invalid_action,-0.26714646464646463,0.0991363081422868,-0.36628277278875143,-0.16801015650417783,9,10
low_signal_counterfactual_shift,0.05,causal_counterfactual_affordance_planner_v5_minus_interactive_affordance_probe,accepted_damage_rate,0.0,0.0,0.0,0.0,0,10
