split,budget,method,metric,mean,ci95,n
combined_counterfactual_stress,0.0,active_view_affordance_probe,accepted_damage_rate,0.0,0.0,10
combined_counterfactual_stress,0.0,active_view_affordance_probe,accepted_invalid_action,0.0,0.0,10
combined_counterfactual_stress,0.0,active_view_affordance_probe,accepted_regret,0.0,0.0,10
combined_counterfactual_stress,0.0,active_view_affordance_probe,accepted_success,0.0,0.0,10
combined_counterfactual_stress,0.0,active_view_affordance_probe,accepted_utility,0.0,0.0,10
combined_counterfactual_stress,0.0,active_view_affordance_probe,coverage,0.0,0.0,10
combined_counterfactual_stress,0.0,causal_counterfactual_affordance_planner_v5,accepted_damage_rate,0.0,0.0,10
combined_counterfactual_stress,0.0,causal_counterfactual_affordance_planner_v5,accepted_invalid_action,0.0,0.0,10
combined_counterfactual_stress,0.0,causal_counterfactual_affordance_planner_v5,accepted_regret,0.0,0.0,10
combined_counterfactual_stress,0.0,causal_counterfactual_affordance_planner_v5,accepted_success,0.0,0.0,10
combined_counterfactual_stress,0.0,causal_counterfactual_affordance_planner_v5,accepted_utility,0.0,0.0,10
combined_counterfactual_stress,0.0,causal_counterfactual_affordance_planner_v5,coverage,0.0,0.0,10
combined_counterfactual_stress,0.0,diffusion_affordance_sampler,accepted_damage_rate,0.0,0.0,10
combined_counterfactual_stress,0.0,diffusion_affordance_sampler,accepted_invalid_action,0.0,0.0,10
combined_counterfactual_stress,0.0,diffusion_affordance_sampler,accepted_regret,0.0,0.0,10
combined_counterfactual_stress,0.0,diffusion_affordance_sampler,accepted_success,0.0,0.0,10
combined_counterfactual_stress,0.0,diffusion_affordance_sampler,accepted_utility,0.0,0.0,10
combined_counterfactual_stress,0.0,diffusion_affordance_sampler,coverage,0.0,0.0,10
combined_counterfactual_stress,0.0,ensemble_uncertainty_affordance,accepted_damage_rate,0.0,0.0,10
combined_counterfactual_stress,0.0,ensemble_uncertainty_affordance,accepted_invalid_action,0.0,0.0,10
combined_counterfactual_stress,0.0,ensemble_uncertainty_affordance,accepted_regret,0.0,0.0,10
combined_counterfactual_stress,0.0,ensemble_uncertainty_affordance,accepted_success,0.0,0.0,10
combined_counterfactual_stress,0.0,ensemble_uncertainty_affordance,accepted_utility,0.0,0.0,10
combined_counterfactual_stress,0.0,ensemble_uncertainty_affordance,coverage,0.0,0.0,10
combined_counterfactual_stress,0.0,interactive_affordance_probe,accepted_damage_rate,0.0,0.0,10
combined_counterfactual_stress,0.0,interactive_affordance_probe,accepted_invalid_action,0.1,0.19599999999999998,10
combined_counterfactual_stress,0.0,interactive_affordance_probe,accepted_regret,0.024301007928530665,0.0476299755399201,10
combined_counterfactual_stress,0.0,interactive_affordance_probe,accepted_success,0.0,0.0,10
combined_counterfactual_stress,0.0,interactive_affordance_probe,accepted_utility,-0.11388590554997147,0.22321637487794407,10
combined_counterfactual_stress,0.0,interactive_affordance_probe,coverage,0.0006944444444444444,0.001361111111111111,10
combined_counterfactual_stress,0.0,robust_mpc_affordance_planner,accepted_damage_rate,0.0,0.0,10
combined_counterfactual_stress,0.0,robust_mpc_affordance_planner,accepted_invalid_action,0.0,0.0,10
combined_counterfactual_stress,0.0,robust_mpc_affordance_planner,accepted_regret,0.0,0.0,10
combined_counterfactual_stress,0.0,robust_mpc_affordance_planner,accepted_success,0.0,0.0,10
combined_counterfactual_stress,0.0,robust_mpc_affordance_planner,accepted_utility,0.0,0.0,10
combined_counterfactual_stress,0.0,robust_mpc_affordance_planner,coverage,0.0,0.0,10
combined_counterfactual_stress,0.05,active_view_affordance_probe,accepted_damage_rate,0.0,0.0,10
combined_counterfactual_stress,0.05,active_view_affordance_probe,accepted_invalid_action,0.0,0.0,10
combined_counterfactual_stress,0.05,active_view_affordance_probe,accepted_regret,0.0,0.0,10
combined_counterfactual_stress,0.05,active_view_affordance_probe,accepted_success,0.0,0.0,10
combined_counterfactual_stress,0.05,active_view_affordance_probe,accepted_utility,0.0,0.0,10
combined_counterfactual_stress,0.05,active_view_affordance_probe,coverage,0.0,0.0,10
combined_counterfactual_stress,0.05,causal_counterfactual_affordance_planner_v5,accepted_damage_rate,0.0,0.0,10
combined_counterfactual_stress,0.05,causal_counterfactual_affordance_planner_v5,accepted_invalid_action,0.0,0.0,10
