method,metric,mean,ci95,n
full_causal_counterfactual_affordance_v5,action_churn,0.4380498083554751,0.0008439414077792746,10
full_causal_counterfactual_affordance_v5,affordance_ap,0.944154119154328,0.006070354538184115,10
full_causal_counterfactual_affordance_v5,counterfactual_precision,0.7886141255720018,0.008145686882273689,10
full_causal_counterfactual_affordance_v5,counterfactual_recall,1.0,0.0,10
full_causal_counterfactual_affordance_v5,damage_rate,0.2186197916666667,0.009430438098853309,10
full_causal_counterfactual_affordance_v5,invalid_action,0.3848958333333333,0.012699018956804413,10
full_causal_counterfactual_affordance_v5,map_ece,0.38560907269974476,0.011877996072051426,10
full_causal_counterfactual_affordance_v5,mechanism_utility,0.3408113646513951,0.0005243318925418807,10
full_causal_counterfactual_affordance_v5,planning_regret,0.3507555061028382,0.0007983670976753473,10
full_causal_counterfactual_affordance_v5,probe_cost,0.025600000000000005,2.266705341943028e-18,10
full_causal_counterfactual_affordance_v5,robust_utility,-0.44724028135532007,0.013842108389931742,10
full_causal_counterfactual_affordance_v5,semantic_transfer_violation,0.2234074909739856,0.0007257223311337396,10
full_causal_counterfactual_affordance_v5,support_transfer_violation,0.21807177584273857,0.0005984385935281187,10
full_causal_counterfactual_affordance_v5,task_success,0.3337239583333333,0.007666168344123408,10
minus_contact_mode_counterfactuals,action_churn,0.46232372307429415,0.0004724294681276295,10
minus_contact_mode_counterfactuals,affordance_ap,0.9293698597383069,0.0048105181999035665,10
minus_contact_mode_counterfactuals,counterfactual_precision,0.8091615744748225,0.008865799419136362,10
minus_contact_mode_counterfactuals,counterfactual_recall,0.9732204678119896,0.004383337054215351,10
minus_contact_mode_counterfactuals,damage_rate,0.2305989583333333,0.00604472130035441,10
minus_contact_mode_counterfactuals,invalid_action,0.4361979166666667,0.00994985256032581,10
minus_contact_mode_counterfactuals,map_ece,0.3639284478026836,0.0111144917029862,10
minus_contact_mode_counterfactuals,mechanism_utility,0.25197465877451963,0.0005790263972014477,10
minus_contact_mode_counterfactuals,planning_regret,0.38682106501628644,0.0011348251957077607,10
minus_contact_mode_counterfactuals,probe_cost,0.025600000000000005,2.266705341943028e-18,10
minus_contact_mode_counterfactuals,robust_utility,-0.5868273184280672,0.016954391450229686,10
minus_contact_mode_counterfactuals,semantic_transfer_violation,0.2346076410319684,0.0006504064683236847,10
minus_contact_mode_counterfactuals,support_transfer_violation,0.2333032300182433,0.0007232613470738103,10
minus_contact_mode_counterfactuals,task_success,0.27981770833333336,0.01144776830376851,10
minus_counterfactual_contrastive_loss,action_churn,0.4825210245592847,0.0010109547623694236,10
minus_counterfactual_contrastive_loss,affordance_ap,0.9239876920772472,0.004586134431300449,10
minus_counterfactual_contrastive_loss,counterfactual_precision,0.937409878441572,0.01369295034406142,10
minus_counterfactual_contrastive_loss,counterfactual_recall,0.20222886445598598,0.010513916492434477,10
minus_counterfactual_contrastive_loss,damage_rate,0.22096354166666665,0.009986515098892552,10
minus_counterfactual_contrastive_loss,invalid_action,0.4373697916666666,0.005439790219851807,10
minus_counterfactual_contrastive_loss,map_ece,0.3313941068912944,0.011501885886796787,10
minus_counterfactual_contrastive_loss,mechanism_utility,0.15342335298383186,0.0002461665786082158,10
minus_counterfactual_contrastive_loss,planning_regret,0.4022521812462895,0.000848192435140571,10
minus_counterfactual_contrastive_loss,probe_cost,0.025600000000000005,2.266705341943028e-18,10
minus_counterfactual_contrastive_loss,robust_utility,-0.6156577456224025,0.011357787957886367,10
minus_counterfactual_contrastive_loss,semantic_transfer_violation,0.2569424522116414,0.0002588980065803824,10
minus_counterfactual_contrastive_loss,support_transfer_violation,0.25658503413059613,0.000808897112473084,10
minus_counterfactual_contrastive_loss,task_success,0.25559895833333335,0.01155849282518501,10
minus_pose_counterfactuals,action_churn,0.4602135219181709,0.0007494328303972481,10
minus_pose_counterfactuals,affordance_ap,0.9011132273905028,0.006979167574626309,10
minus_pose_counterfactuals,counterfactual_precision,0.8175591213932176,0.008486976255412261,10
minus_pose_counterfactuals,counterfactual_recall,0.9421218163146298,0.00569919372480984,10
minus_pose_counterfactuals,damage_rate,0.2196614583333333,0.011311677342240003,10
minus_pose_counterfactuals,invalid_action,0.4134114583333333,0.010273698426778475,10
minus_pose_counterfactuals,map_ece,0.35079504180711263,0.010834372146193023,10
minus_pose_counterfactuals,mechanism_utility,0.2501929843651616,0.0004803898121680662,10
minus_pose_counterfactuals,planning_regret,0.3811646841350408,0.000781012049228929,10
minus_pose_counterfactuals,probe_cost,0.025600000000000005,2.266705341943028e-18,10
minus_pose_counterfactuals,robust_utility,-0.5499550913945286,0.01783568376264841,10
minus_pose_counterfactuals,semantic_transfer_violation,0.23002028808202524,0.0006339597290366088,10
minus_pose_counterfactuals,support_transfer_violation,0.2265525902751513,0.001277192031642519,10
minus_pose_counterfactuals,task_success,0.28203125000000007,0.01164674949189051,10
minus_semantic_role_counterfactuals,action_churn,0.4625025072935953,0.00045833920542619926,10
minus_semantic_role_counterfactuals,affordance_ap,0.8973000114305169,0.010039708494997657,10
minus_semantic_role_counterfactuals,counterfactual_precision,0.8224054444318654,0.00878683171536448,10
minus_semantic_role_counterfactuals,counterfactual_recall,0.9236448574571389,0.005627645713506316,10
minus_semantic_role_counterfactuals,damage_rate,0.21822916666666664,0.0064248553599754255,10
minus_semantic_role_counterfactuals,invalid_action,0.41953125,0.010698476197095307,10
minus_semantic_role_counterfactuals,map_ece,0.35814748779012073,0.010892176111869262,10
minus_semantic_role_counterfactuals,mechanism_utility,0.2237360865760712,0.00043108400170254786,10
minus_semantic_role_counterfactuals,planning_regret,0.38047911247438126,0.0004949189529788087,10
minus_semantic_role_counterfactuals,probe_cost,0.025600000000000005,2.266705341943028e-18,10
minus_semantic_role_counterfactuals,robust_utility,-0.5398996703987334,0.012494367344805133,10
minus_semantic_role_counterfactuals,semantic_transfer_violation,0.3210489905891154,0.0006494829003951525,10
minus_semantic_role_counterfactuals,support_transfer_violation,0.22712061643561893,0.0005812354383528881,10
minus_semantic_role_counterfactuals,task_success,0.2953125,0.00987538640535612,10
minus_support_counterfactuals,action_churn,0.4596935841090163,0.0008113234646514241,10
minus_support_counterfactuals,affordance_ap,0.9210353750214132,0.0061999986189495045,10
minus_support_counterfactuals,counterfactual_precision,0.8270781690245084,0.01018764020677122,10
minus_support_counterfactuals,counterfactual_recall,0.9019671549075374,0.009477727468624268,10
minus_support_counterfactuals,damage_rate,0.23294270833333336,0.007660502291358105,10
minus_support_counterfactuals,invalid_action,0.4213541666666667,0.008899418676395541,10
minus_support_counterfactuals,map_ece,0.3583591927846045,0.010856326349954235,10
minus_support_counterfactuals,mechanism_utility,0.21550511222896498,0.00046310774852534873,10
minus_support_counterfactuals,planning_regret,0.38520117552363076,0.0009221478132491138,10
minus_support_counterfactuals,probe_cost,0.025600000000000005,2.266705341943028e-18,10
minus_support_counterfactuals,robust_utility,-0.5788848020332082,0.01245543260280333,10
minus_support_counterfactuals,semantic_transfer_violation,0.2320448494187092,0.0004435064485434522,10
minus_support_counterfactuals,support_transfer_violation,0.311015972558041,0.0010858529359574845,10
minus_support_counterfactuals,task_success,0.2752604166666667,0.004136160022750126,10
minus_uncertainty_calibration,action_churn,0.5296396150601292,0.0007931447195764034,10
minus_uncertainty_calibration,affordance_ap,0.9090728351291597,0.008872387250122423,10
minus_uncertainty_calibration,counterfactual_precision,0.8056979473695896,0.008182748248979337,10
minus_uncertainty_calibration,counterfactual_recall,0.9846549255853976,0.003482305282715164,10
minus_uncertainty_calibration,damage_rate,0.21640625,0.011519294904315653,10
minus_uncertainty_calibration,invalid_action,0.4087239583333333,0.012330375064580058,10
minus_uncertainty_calibration,map_ece,0.38551181002695006,0.011795322531357412,10
minus_uncertainty_calibration,mechanism_utility,0.26906954134079764,0.00040223790386091423,10
minus_uncertainty_calibration,planning_regret,0.35534893934484557,0.0007171619415485404,10
minus_uncertainty_calibration,probe_cost,0.025600000000000005,2.266705341943028e-18,10
minus_uncertainty_calibration,robust_utility,-0.4730272992080586,0.01860031457317893,10
minus_uncertainty_calibration,semantic_transfer_violation,0.22684841980592121,0.0008134164669832925,10
minus_uncertainty_calibration,support_transfer_violation,0.22222460383620352,0.0010902802179344959,10
minus_uncertainty_calibration,task_success,0.33125,0.010371496972948336,10
minus_utility_planner,action_churn,0.48647043476075114,0.0007639072714608114,10
minus_utility_planner,affordance_ap,0.939703765525719,0.003969514628572631,10
minus_utility_planner,counterfactual_precision,0.7891241073387395,0.007969201273287948,10
minus_utility_planner,counterfactual_recall,1.0,0.0,10
minus_utility_planner,damage_rate,0.2421875,0.008625219457308222,10
minus_utility_planner,invalid_action,0.4333333333333333,0.014870372487359177,10
minus_utility_planner,map_ece,0.3855838297410168,0.011867334248332593,10
